,Date,Open,High,Low,Close,Adj Close,Volume,NSE,SPY,DJ,NASDAQ,pcod,hld,rsi,bbul,bbll,stma,ltma,ema,scul,scll,stma_cut_ltma_b,stma_pr_cut_ltma_a,close_pr_cut_stma_b,close_pr_cut_stma_a,close_pr_cut_ltma_b,close_pr_cut_ltma_a,dr_stock,dr_nse,dr_spy,dr_dj,dr_nasdaq,vwap,price_movmnt,beta,ds,TS_close_pr
334,2015-12-01,2490.0,2500.0,2460.0,2464.649902,2358.276123,153290.0,7954.899901999999,2102.6298829999996,17888.349609,5156.310059,10.75,40.0,65.3720884737831,2536.42,2338.555,2468.8600098000006,2437.487487749999,2453.0820178824274,0,0,0,0,0,1,0,0,-0.005888921488935495,0.0024762801424025316,0.010680573511899105,0.009505104297389488,0.009325350380309905,2464.65,0.0,-2.3781,2015-12-01,2453.4414607626595
335,2015-12-02,2470.0,2515.0,2426.350098,2500.600098,2392.674805,401153.0,7931.350098000001,2079.51001,17729.679688,5123.220215,5.350097999999889,88.64990200000011,73.41848889211812,2542.225,2337.065,2471.2550294000002,2439.644995099999,2457.607549322196,0,0,0,0,1,0,0,0,0.014586367416653756,-0.0029604148751234405,-0.01099569314929194,-0.008870014532820325,-0.006417349542866213,2500.6,1.0,-4.9271,2015-12-02,2454.9505235292972
336,2015-12-03,2499.0,2506.949951,2473.75,2480.199951,2373.155029,246228.0,7864.149901999999,2049.6201170000004,17477.669922,5037.529785,-1.600097999999889,33.199951000000056,59.55840003014534,2544.765,2344.5,2467.0000245,2444.6324950999992,2459.759206624844,0,0,0,0,0,0,0,0,-0.008158139985930957,-0.008472731019268376,-0.014373526867514141,-0.014214005579049838,-0.016725892388758212,2480.2,0.0,0.9629,2015-12-03,2457.807074867912
337,2015-12-04,2455.199951,2489.449951,2455.199951,2472.550049,2365.835205,187184.0,7781.899901999999,2091.689941,17847.630859,5142.27002,-25.0,34.25,49.11258687193164,2545.332,2353.143,2466.5750245000004,2449.237499999999,2460.9773820891446,0,0,0,0,0,0,0,0,-0.0030844272331777,-0.010458854551981811,0.020525668952535714,0.021167634967994786,0.020791983267648417,2472.55,0.0,0.2949,2015-12-04,2460.363511873766
338,2015-12-05,2455.199951,2489.449951,2455.199951,2472.550049,2365.835205,187184.0,7781.899901999999,2091.689941,17847.630859,5142.27002,-17.35009799999989,34.25,49.11258687193164,2544.744,2362.941,2466.1500245,2453.842504899999,2462.0795408425593,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2472.55,1.0,,2015-12-05,2460.7038413672735
339,2015-12-06,2455.199951,2489.449951,2455.199951,2472.550049,2365.835205,187184.0,7781.899901999999,2091.689941,17847.630859,5142.27002,-17.35009799999989,34.25,49.11258687193164,2541.557,2376.123,2468.5900392000003,2458.8400024499983,2463.076732095649,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2472.55,1.0,,2015-12-06,2460.873165555594
340,2015-12-07,2471.050049,2485.0,2442.100098,2449.75,2344.019287,187375.0,7765.399901999999,2077.070068,17730.509766,5101.810059,-1.5,42.89990200000011,32.42659337692679,2533.364,2392.761,2468.7800294000003,2463.0624999999986,2461.807519515111,0,0,0,0,0,1,0,1,-0.009221233141637919,-0.0021203048365809885,-0.006989502943734904,-0.006562276748397711,-0.007868112884511613,2449.75,0.0,4.349,2015-12-07,2460.7710413363025
341,2015-12-08,2440.5,2484.0,2430.0,2462.649902,2356.362305,186909.0,7701.700195,2063.590088,17568.0,5098.240234000001,-9.25,54.0,45.94900226451002,2510.902,2427.198,2470.2600098000007,2469.0499999999984,2461.887746418434,0,0,0,0,0,0,0,0,0.005265749334254499,-0.008203016947471387,-0.006489901427822242,-0.009165543920887531,-0.0006997173471211537,2462.65,1.0,-0.6419,2015-12-08,2460.537889562336
342,2015-12-09,2463.0,2471.600098,2383.25,2389.300049,2286.178223,206433.0,7612.5,2047.619995,17492.300781,5022.870117,0.350097999999889,88.35009799999989,32.358870967741936,2519.296,2414.909,2464.4050049000007,2467.1025024499986,2454.974632378583,0,1,0,1,0,0,0,0,-0.029784928171306957,-0.011581883576552321,-0.007738985127360154,-0.004308926400273139,-0.014783555411406413,2389.3,0.0,2.5717,2015-12-09,2461.3132621874656
343,2015-12-10,2391.600098,2451.949951,2391.600098,2443.25,2337.799805,194126.0,7683.299805,2052.22998,17574.75,5045.169922,2.3000489999999445,60.34985300000017,49.103566499447595,2518.47,2412.395,2460.8050049000008,2465.4325073499986,2453.85800072348,0,0,0,0,0,0,0,0,0.022579859033151184,0.009300466995073808,0.00225138698159677,0.004713457653869879,0.004439653919086073,2443.25,1.0,2.4278,2015-12-10,2463.585341373982
